id_municipio,municipio,populacao,pib_per_capita,educacao_ideb,seg_cvli_estado,infra_agua,infra_esgoto,saude_total_leitos,saude_estabelecimentos,area_km2,densidade_demografica,densidade_demografica_raw
3300704,Cabo Frio,238.438 (Fonte: IBGE),"R$ 51.835,81 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",95.9% (Fonte: SNIS),78.7% (Fonte: SNIS),418 leitos (Fonte: CNES),552 unidades (Fonte: CNES),"412,4 km²","578,2 hab/km²",578.227762149578
3300233,Armação dos Búzios,42.527 (Fonte: IBGE),"R$ 69.845,82 (Fonte: IBGE)",5.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",80.5% (Fonte: SNIS),66.1% (Fonte: SNIS),92 leitos (Fonte: CNES),65 unidades (Fonte: CNES),"70,6 km²","602,3 hab/km²",602.2801302931596
3300258,Arraial do Cabo,32.822 (Fonte: IBGE),"R$ 82.428,77 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",91.8% (Fonte: SNIS),75.3% (Fonte: SNIS),85 leitos (Fonte: CNES),27 unidades (Fonte: CNES),"161,0 km²","203,8 hab/km²",203.8127173373075
3300209,Araruama,137.906 (Fonte: IBGE),"R$ 30.703,99 (Fonte: IBGE)",4.6 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",94.6% (Fonte: SNIS),76.3% (Fonte: SNIS),215 leitos (Fonte: CNES),331 unidades (Fonte: CNES),"641,0 km²","215,1 hab/km²",215.1285411206789
3305208,São Pedro da Aldeia,110.677 (Fonte: IBGE),"R$ 24.789,80 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",94.9% (Fonte: SNIS),77.9% (Fonte: SNIS),88 leitos (Fonte: CNES),122 unidades (Fonte: CNES),"334,4 km²","331,0 hab/km²",331.0114846273478
3306305,Volta Redonda,279.971 (Fonte: IBGE),"R$ 70.261,85 (Fonte: IBGE)",5.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",98.2% (Fonte: SNIS),97.1% (Fonte: SNIS),1159 leitos (Fonte: CNES),910 unidades (Fonte: CNES),"183,4 km²","1.526,9 hab/km²",1526.8924520069806
3304003,Piraí,29.066 (Fonte: IBGE),"R$ 84.290,58 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",81.2% (Fonte: SNIS),32.4% (Fonte: SNIS),72 leitos (Fonte: CNES),46 unidades (Fonte: CNES),"507,8 km²","57,2 hab/km²",57.24132498326047
3300407,Barra Mansa,181.679 (Fonte: IBGE),"R$ 35.498,37 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",100.9% (Fonte: SNIS),91.2% (Fonte: SNIS),412 leitos (Fonte: CNES),451 unidades (Fonte: CNES),"549,8 km²","330,4 hab/km²",330.4215771860905
3303955,Pinheiral,25.096 (Fonte: IBGE),"R$ 57.883,61 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",91.5% (Fonte: SNIS),91.8% (Fonte: SNIS),34 leitos (Fonte: CNES),36 unidades (Fonte: CNES),"76,9 km²","326,3 hab/km²",326.3459037711313
3304409,Rio Claro,17.951 (Fonte: IBGE),"R$ 24.286,72 (Fonte: IBGE)",5.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",68.9% (Fonte: SNIS),78.5% (Fonte: SNIS),42 leitos (Fonte: CNES),32 unidades (Fonte: CNES),"841,2 km²","21,3 hab/km²",21.33924538170752
3304128,Quatis,14.165 (Fonte: IBGE),"R$ 21.533,00 (Fonte: IBGE)",5.4 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",102.8% (Fonte: SNIS),101.9% (Fonte: SNIS),34 leitos (Fonte: CNES),27 unidades (Fonte: CNES),"287,5 km²","49,3 hab/km²",49.274706925940094
3304201,Resende,137.697 (Fonte: IBGE),"R$ 78.101,99 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",93.4% (Fonte: SNIS),92.0% (Fonte: SNIS),486 leitos (Fonte: CNES),529 unidades (Fonte: CNES),"1.100,5 km²","125,1 hab/km²",125.12221717401181
